img_source,product_description,price_dollar,num_reviews,real_price_dollar,file_source,quality,release_year,movie_audience_rating,actors,director,money_made
https://i5.walmartimages.com/asr/1f0c4100-a4a8-4353-949a-283eca3077c8_1.7aa152faa0cfa1f07190f0e8620fa357.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,"JBL Charge 3 Waterproof Portable Bluetooth Speaker (Black), 1",131,41637,129.95,amazon_audio_video,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,5454447
https://m.media-amazon.com/images/I/617-0n9NuYL._AC_UY350_.jpg,TravisMathew Men's The Rudds 2.0 Polo,84,53272,65,amazon_men,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,4474848
"https://m.media-amazon.com/images/I/61XzOG9rAwL._AC_UF894,1000_QL80_.jpg","iOttie Easy One Touch 5 Dashboard & Windshield Universal Car Mount Phone Holder Desk Stand with Suction Cup Base and Telescopic Arm for iPhone, Samsung, Google, Huawei, Nokia, other Smartphones Black",24,126957,29.98,amazon_audio_video,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,3046968
https://cdn.shopify.com/s/files/1/0531/2856/0817/products/LXT600BB-343628_2000x.jpg?v=1622672530,Midland LXT600BBX4 FRS Business Bundle,319,7799,39.99,amazon_audio_video,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,2487881
https://i5.walmartimages.com/asr/8c4042ce-3acf-4e51-ab89-35135b6592e0.62b1f758a08e4a03e1e899f59a5904e1.jpeg,"Motorola T100 Talkabout Radio, 2 Pack",259,9421,202,amazon_audio_video,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,2440039
https://i5.walmartimages.com/asr/8d3b1d3b-60ee-4c24-8cd0-b7c9e4d3cdbd_1.967642855d93d55b123f9fd3aa026a90.png?odnHeight=612&odnWidth=612&odnBg=FFFFFF,"MaxxHaul 70115 46"" x 36"" x 4-1/2"" Roof Rack Rooftop Cargo Carrier Steel Basket, Car Top Luggage Holder for SUV and Pick Up Trucks - 150 lb. Capacity",129,9742,0,amazon_car_accessories,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,1256718
"https://m.media-amazon.com/images/I/41aKXqTx7mL._AC_UF894,1000_QL80_.jpg","Furrion Vision S Wireless RV Backup Camera System with 7-Inch Monitor, 1 Rear Sharkfin, Infrared Night Vision, Wide-Angle View, Hi-Res, IP65 Waterproof, Motion Detection, Microphone - FOS07TASF",599,2068,0,amazon_car_accessories,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,1238732
"https://m.media-amazon.com/images/I/61vJ6MqJoNL._AC_UF894,1000_QL80_.jpg","MaxxHaul 50025 Hitch Mount 2 Bike Rack For Cars, Trucks, SUV's, Minivans - 100 lb. Capacity",250,4851,0,amazon_car_accessories,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,1212750
"https://images-na.ssl-images-amazon.com/images/I/71Ae6gBKlSL._AC_UL600_SR600,600_.jpg",Camco Eaz-Lift Elite 1200lb Weight Distribution Hitch Kit with Sway Control (48069),330,3637,0,amazon_car_accessories,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,1200210
https://m.media-amazon.com/images/I/61+NLIW+fbL.jpg,"Tekonsha 90195 P3 Electronic Brake Control , silver, Single",137,6731,59.35,amazon_car_accessories,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,922147
